id,timestamp,x,y,z
-O3cCPgec00y2fH_BqDx,2024-08-07 01:01:31,0.6104,0.8545,0.9766
-O3cCPik01yB2imU-sSa,2024-08-07 01:01:31,0.4883,1.0376,0.7935
-O3cCPkz-_NY1cSQ1H6s,2024-08-07 01:01:31,0.4272,1.0376,0.7935
-O3cCPnAFZd89cqT0FJe,2024-08-07 01:01:31,0.3662,0.9766,0.7935
-O3cCPpITo6WoH27FB1F,2024-08-07 01:01:32,0.2441,0.9766,0.8545
-O3cCPrZGZpdtBgInJa5,2024-08-07 01:01:32,0.061,1.2817,1.0986
-O3cCPtmREWTfBDo2Fi1,2024-08-07 01:01:32,0.1831,0.4272,0.9155
-O3cCPvx2XNf1knyqZ9A,2024-08-07 01:01:32,0.1831,0.9155,0.9766
-O3cCPyA57OSMb8_YUE9,2024-08-07 01:01:32,0.2441,0.9766,0.8545
-O3cCQ-PsLjXro-ntIlZ,2024-08-07 01:01:32,0.3052,1.0376,0.5493
-O3cCQ1QSRyCkhLh6Z_a,2024-08-07 01:01:32,0.4272,0.7935,0.6104
-O3cCQ3IdsvRiF74pOZj,2024-08-07 01:01:32,0.4272,0.7935,0.7935
-O3cCQ5N5aiA3uX67ZKO,2024-08-07 01:01:33,0.4272,0.9766,1.1597
-O3cCQA3pVDbawFbtxZQ,2024-08-07 01:01:33,0.5493,0.7324,1.0986
-O3cCQC43SM1odDcZZ92,2024-08-07 01:01:33,0.6104,0.6714,0.8545
-O3cCQEBNqzN1XWVSDX3,2024-08-07 01:01:33,0.7324,0.9155,0.1221
-O3cCQG4_yub-R_CjTET,2024-08-07 01:01:33,0.7935,1.1597,-0.061
-O3cCQHzSEapWTRqX1pQ,2024-08-07 01:01:33,0.6714,1.2207,0.061
-O3cCQJqi4alaEgWbnVn,2024-08-07 01:01:34,0.5493,1.0376,0.7324
-O3cCQM-mfKO-efKNUYw,2024-08-07 01:01:34,0.2441,0.7324,0.8545
-O3cCQNzvEvqVVpptLko,2024-08-07 01:01:34,0.1831,0.6714,0.7935
-O3cCQPwlEt5ftqhpbm2,2024-08-07 01:01:34,0.061,0.7935,0.2441
-O3cCQRyYiF9vAtJnMLv,2024-08-07 01:01:34,0,1.0376,0.061
-O3cCQTzuTfiD_4t1qqZ,2024-08-07 01:01:34,0,0.5493,-0.061
-O3cCQW5bYl3jKMgXx-P,2024-08-07 01:01:34,-0.1221,0.6104,0.1221
-O3cCQY2ZAws1nDOMscw,2024-08-07 01:01:34,-0.2441,0.1221,0.4883
-O3cCQ_1A6newu7OZPNo,2024-08-07 01:01:35,-0.2441,0.1221,0.4883
-O3cCQb6Gp8AEUp4vYMs,2024-08-07 01:01:35,-0.1831,0.061,0.3052
-O3cCQcyJSqw-D0WjrHb,2024-08-07 01:01:35,-0.1221,0.4883,0.061
-O3cCQfA95CjVMf2zNTt,2024-08-07 01:01:35,0,0.5493,0.061
-O3cCQhEo3lT2GcwHIuZ,2024-08-07 01:01:35,0,0.4883,0.1221
-O3cCQjDvC2VJHwDKWKT,2024-08-07 01:01:35,0.1221,0.3052,0.3052
-O3cCQlGcnLowy3aVgr-,2024-08-07 01:01:35,0.1831,0.3052,0.3662
-O3cCQnEPVTahId84Phm,2024-08-07 01:01:35,0.3052,0.3052,0.3662
-O3cCQpFbvWggxceAyWE,2024-08-07 01:01:36,0.4272,0.1831,0.2441
-O3cCQrAkK8Mj5_XouAU,2024-08-07 01:01:36,0.4883,0.061,0.2441
-O3cCQtHTsugIwRzRlvk,2024-08-07 01:01:36,0.4883,0,0.3052
-O3cCQvHkh2RmyHB8k-p,2024-08-07 01:01:36,0.4272,-0.061,0.4883
-O3cCQxG_HYaQ6HCVcDp,2024-08-07 01:01:36,0.3662,-0.061,0.6104
-O3cCQzEb4MkE5nVFgm9,2024-08-07 01:01:36,0.3662,0,0.5493
-O3cCR0CxJL-Ns4hSQH_,2024-08-07 01:01:36,0.3052,0.1221,0.4272
